"ELF","OP","MinDistance","country"
"Papua New Guinea","Papua New Guinea","0.0e0","http://publications.europa.eu/resource/authority/country/PNG"
"Paraguay","Paraguay","0.0e0","http://publications.europa.eu/resource/authority/country/PRY"
"Peru","Peru","0.0e0","http://publications.europa.eu/resource/authority/country/PER"
"Philippines","Philippines","0.0e0","http://publications.europa.eu/resource/authority/country/PHL"
"Poland","Poland","0.0e0","http://publications.europa.eu/resource/authority/country/POL"
"Portugal","Portugal","0.0e0","http://publications.europa.eu/resource/authority/country/PRT"
"Puerto Rico","Puerto Rico","0.0e0","http://publications.europa.eu/resource/authority/country/PRI"
"Qatar","Qatar","0.0e0","http://publications.europa.eu/resource/authority/country/QAT"
"Romania","Romania","0.0e0","http://publications.europa.eu/resource/authority/country/ROU"
"Russian Federation","Russia","0.0e0","http://publications.europa.eu/resource/authority/country/RUS"
"Saint Kitts and Nevis","Saint Kitts and Nevis","0.0e0","http://publications.europa.eu/resource/authority/country/KNA"
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","0.0e0","http://publications.europa.eu/resource/authority/country/VCT"
"Samoa","Samoa","0.0e0","http://publications.europa.eu/resource/authority/country/WSM"
"Saudi Arabia","Saudi Arabia","0.0e0","http://publications.europa.eu/resource/authority/country/SAU"
"Serbia","Serbia","0.0e0","http://publications.europa.eu/resource/authority/country/SRB"
"Seychelles","Seychelles","0.0e0","http://publications.europa.eu/resource/authority/country/SYC"
"Singapore","Singapore","0.0e0","http://publications.europa.eu/resource/authority/country/SGP"
"Sint Maarten","Sint Maarten","0.0e0","http://publications.europa.eu/resource/authority/country/SXM"
"Slovakia","Slovakia","0.0e0","http://publications.europa.eu/resource/authority/country/SVK"
"Slovenia","Slovenia","0.0e0","http://publications.europa.eu/resource/authority/country/SVN"
"Solomon Islands","Solomon Islands","0.0e0","http://publications.europa.eu/resource/authority/country/SLB"
"South Africa","South Africa","0.0e0","http://publications.europa.eu/resource/authority/country/ZAF"
"Spain","Spain","0.0e0","http://publications.europa.eu/resource/authority/country/ESP"
"Suriname","Suriname","0.0e0","http://publications.europa.eu/resource/authority/country/SUR"
"Sweden","Sweden","0.0e0","http://publications.europa.eu/resource/authority/country/SWE"
"Switzerland","Switzerland","0.0e0","http://publications.europa.eu/resource/authority/country/CHE"
"Thailand","Thailand","0.0e0","http://publications.europa.eu/resource/authority/country/THA"
"Tonga","Tonga","0.0e0","http://publications.europa.eu/resource/authority/country/TON"
"Tunisia","Tunisia","0.0e0","http://publications.europa.eu/resource/authority/country/TUN"
"Tuvalu","Tuvalu","0.0e0","http://publications.europa.eu/resource/authority/country/TUV"
"Türkiye","Türkiye","0.0e0","http://publications.europa.eu/resource/authority/country/TUR"
"United Arab Emirates","United Arab Emirates","0.0e0","http://publications.europa.eu/resource/authority/country/ARE"
"United Kingdom of Great Britain and Northern Ireland","United Kingdom","0.0e0","http://publications.europa.eu/resource/authority/country/GBR"
"United States of America","United States","0.0e0","http://publications.europa.eu/resource/authority/country/USA"
"Vanuatu","Vanuatu","0.0e0","http://publications.europa.eu/resource/authority/country/VUT"
"Bolivia (Plurinational State of)","Bolivia","0.13741805082205727e0","http://publications.europa.eu/resource/authority/country/BOL"
"Virgin Islands (British)","British Virgin Islands","0.18955679914124668e0","http://publications.europa.eu/resource/authority/country/VGB"
"Korea (Republic of)","South Korea","0.24853085069782066e0","http://publications.europa.eu/resource/authority/country/KOR"
"Virgin Islands (U.S.)","US Virgin Islands","0.28918134668908924e0","http://publications.europa.eu/resource/authority/country/VIR"
"Myanmar","Myanmar/Burma","0.32580013753675796e0","http://publications.europa.eu/resource/authority/country/MMR"
"Taiwan (Province of China)","Taiwan","0.5917517095361369e0","http://publications.europa.eu/resource/authority/country/TWN"
"Viet Nam","Vietnam","0.6348516283298893e0","http://publications.europa.eu/resource/authority/country/VNM"
