"ELF","OPLabel","OPLabelString","MinDistance","country"
"Malta","Malta","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/MLT"
"Marshall Islands","Marshall Islands","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/MHL"
"Mauritius","Mauritius","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/MUS"
"Mexico","Mexico","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/MEX"
"Monaco","Monaco","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/MCO"
"Netherlands","Netherlands","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/NLD"
"New Zealand","New Zealand","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/NZL"
"North Macedonia","North Macedonia","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/MKD"
"Norway","Norway","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/NOR"
"Pakistan","Pakistan","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/PAK"
"Panama","Panama","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/PAN"
"Papua New Guinea","Papua New Guinea","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/PNG"
"Paraguay","Paraguay","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/PRY"
"Peru","Peru","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/PER"
"Philippines","Philippines","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/PHL"
"Poland","Poland","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/POL"
"Portugal","Portugal","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/PRT"
"Puerto Rico","Puerto Rico","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/PRI"
"Qatar","Qatar","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/QAT"
"Romania","Romania","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/ROU"
"Russian Federation","Russian Federation","AltLabel","0.0e0","http://publications.europa.eu/resource/authority/country/RUS"
"Saint Kitts and Nevis","Saint Kitts and Nevis","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/KNA"
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/VCT"
"Samoa","Samoa","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/WSM"
"Saudi Arabia","Saudi Arabia","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/SAU"
"Serbia","Serbia","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/SRB"
"Seychelles","Seychelles","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/SYC"
