"subject","equivalent","spdxurl","OPLabel","SPDXLabel","OPid","SPDXid","BestMatch","LabelID","MinDistance"
"http://publications.europa.eu/resource/authority/licence/UPL_1_0","https://opensource.org/licenses/UPL","https://spdx.org/licenses/UPL-1.0","The Universal Permissive License (UPL), Version 1.0","Universal Permissive License v1.0","UPL-1-0","UPL-1-0","UPL-1-0","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/UCL_1_0","https://opensource.org/licenses/UCL-1.0","https://spdx.org/licenses/UCL-1.0","Upstream Compatibility License v1.0","Upstream Compatibility License v1.0","UCL-1-0","UCL-1-0","Upstream Compatibility License v1.0","Label","0.0e0"
"http://publications.europa.eu/resource/authority/licence/VSL_1_0","https://opensource.org/licenses/VSL-1.0","https://spdx.org/licenses/VSL-1.0","The Vovida Software License v. 1.0 (VSL-1.0)","Vovida Software License v1.0","VSL-1-0","VSL-1-0","VSL-1-0","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/W3C","https://opensource.org/licenses/W3C","https://spdx.org/licenses/W3C","The W3C Software Notice and License (W3C)","W3C Software Notice and License (2002-12-31)","W3C","W3C","W3C","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/WATCOM_1_0","https://opensource.org/licenses/Watcom-1.0","https://spdx.org/licenses/Watcom-1.0","The Sybase Open Source Licence (Watcom-1.0)","Sybase Open Watcom Public License 1.0","WATCOM-1-0","WATCOM-1-0","WATCOM-1-0","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/WXWINDOWS","https://opensource.org/licenses/WXwindows","https://spdx.org/licenses/wxWindows","The wxWindows Library Licence (wxWindows)","wxWindows Library License","WXWINDOWS","WXWINDOWS","WXWINDOWS","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/XNET","https://opensource.org/licenses/Xnet","https://spdx.org/licenses/Xnet","The X.Net, Inc. License (Xnet)","X.Net License","XNET","XNET","XNET","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/ZLIB","https://opensource.org/licenses/Zlib","https://spdx.org/licenses/Zlib","The zlib/libpng License (Zlib)","zlib License","ZLIB","ZLIB","ZLIB","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/ZPL_2_0","https://opensource.org/licenses/ZPL-2.0","https://spdx.org/licenses/ZPL-2.0","The Zope Public License Version 2.0 (ZPL-2.0)","Zope Public License 2.0","ZPL-2-0","ZPL-2-0","ZPL-2-0","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/DLDE_BY_2_0","https://www.govdata.de/dl-de/by-2-0","https://spdx.org/licenses/DL-DE-BY-2.0","Data licence Germany – attribution – Version 2.0","Data licence Germany – attribution – version 2.0","DLDE-BY-2-0","DL-DE-BY-2-0","Data licence Germany – attribution – version 2.0","Label","0.0576923076923076e0"
"http://publications.europa.eu/resource/authority/licence/OGL_ROU_1_0","http://data.gov.ro/base/images/logoinst/OGL-ROU-1.0.pdf","https://spdx.org/licenses/NCGL-UK-2.0","Non-Commercial Government Licence 1.0","Non-Commercial Government Licence","OGL-ROU-1-0","NCGL-UK-2-0","Non-Commercial Government Licence","Label","0.05887605188567979e0"
"http://publications.europa.eu/resource/authority/licence/ODC_PDDL","http://opendatacommons.org/licenses/pddl/1.0/","https://spdx.org/licenses/PDDL-1.0","Open Data Commons Public Domain Dedication and License 1.0","Open Data Commons Public Domain Dedication & License 1.0","ODC-PDDL","PDDL-1-0","Open Data Commons Public Domain Dedication & License 1.0","Label","0.07003231159473478e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYND",,"https://spdx.org/licenses/CC-BY-ND-4.0","Creative Commons Attribution–NoDerivatives 4.0 International","Creative Commons Attribution No Derivatives 4.0 International","CC-BYND","CC-BY-ND-4-0","Creative Commons Attribution No Derivatives 4.0 International","Label","0.07584009106068901e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYND_4_0","http://creativecommons.org/licenses/by-nd/4.0/","https://spdx.org/licenses/CC-BY-ND-4.0","Creative Commons Attribution–NoDerivatives 4.0 International","Creative Commons Attribution No Derivatives 4.0 International","CC-BYND-4-0","CC-BY-ND-4-0","Creative Commons Attribution No Derivatives 4.0 International","Label","0.07584009106068901e0"
"http://publications.europa.eu/resource/authority/licence/GNU_FDL_1_1","https://gnu.org/licenses/old-licenses/fdl-1.1","https://spdx.org/licenses/GFDL-1.1","GNU Free Documentation License 1.1","GNU Free Documentation License v1.1","GNU-FDL-1-1","GFDL-1-1","GNU Free Documentation License v1.1","Label","0.07681381765500461e0"
"http://publications.europa.eu/resource/authority/licence/GNU_FDL_1_2","ttps://gnu.org/licenses/old-licenses/fdl-1.2","https://spdx.org/licenses/GFDL-1.2","GNU Free Documentation License 1.2","GNU Free Documentation License v1.2","GNU-FDL-1-2","GFDL-1-2","GNU Free Documentation License v1.2","Label","0.07681381765500461e0"
"http://publications.europa.eu/resource/authority/licence/GNU_FDL_1_3","http://www.gnu.org/licenses/licenses.html","https://spdx.org/licenses/GFDL-1.3","GNU Free Documentation License 1.3","GNU Free Documentation License v1.3","GNU-FDL-1-3","GFDL-1-3","GNU Free Documentation License v1.3","Label","0.07681381765500461e0"
"http://publications.europa.eu/resource/authority/licence/GNU_FDL","http://www.gnu.org/licenses/licenses.html","https://spdx.org/licenses/GFDL-1.1","GNU Free Documentation License","GNU Free Documentation License v1.1","GNU-FDL","GFDL-1-1","GNU Free Documentation License v1.1","Label","0.07886762705632344e0"
"http://publications.europa.eu/resource/authority/licence/GNU_FDL","http://www.gnu.org/licenses/licenses.html","https://spdx.org/licenses/GFDL-1.2","GNU Free Documentation License","GNU Free Documentation License v1.2","GNU-FDL","GFDL-1-2","GNU Free Documentation License v1.2","Label","0.07886762705632344e0"
"http://publications.europa.eu/resource/authority/licence/GNU_FDL","http://www.gnu.org/licenses/licenses.html","https://spdx.org/licenses/GFDL-1.3","GNU Free Documentation License","GNU Free Documentation License v1.3","GNU-FDL","GFDL-1-3","GNU Free Documentation License v1.3","Label","0.07886762705632344e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYSA",,"https://spdx.org/licenses/CC-BY-SA-4.0","Creative Commons Attribution–ShareAlike 4.0 International","Creative Commons Attribution Share Alike 4.0 International","CC-BYSA","CC-BY-SA-4-0","Creative Commons Attribution Share Alike 4.0 International","Label","0.08940079931758782e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYSA_4_0","http://creativecommons.org/licenses/by-sa/4.0/","https://spdx.org/licenses/CC-BY-SA-4.0","Creative Commons Attribution–ShareAlike 4.0 International","Creative Commons Attribution Share Alike 4.0 International","CC-BYSA-4-0","CC-BY-SA-4-0","Creative Commons Attribution Share Alike 4.0 International","Label","0.08940079931758782e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNC",,"https://spdx.org/licenses/CC-BY-NC-4.0","Creative Commons Attribution–NonCommercial 4.0 International","Creative Commons Attribution Non Commercial 4.0 International","CC-BYNC","CC-BY-NC-4-0","Creative Commons Attribution Non Commercial 4.0 International","Label","0.09162727071414467e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNC_4_0","http://creativecommons.org/licenses/by-nc/4.0/","https://spdx.org/licenses/CC-BY-NC-4.0","Creative Commons Attribution–NonCommercial 4.0 International","Creative Commons Attribution Non Commercial 4.0 International","CC-BYNC-4-0","CC-BY-NC-4-0","Creative Commons Attribution Non Commercial 4.0 International","Label","0.09162727071414467e0"
"http://publications.europa.eu/resource/authority/licence/OGL_1_0","http://www.nationalarchives.gov.uk/doc/open-government-licence/version/1/","https://spdx.org/licenses/OGL-UK-1.0","Open Government Licence 1.0","Open Government Licence v1.0","OGL-1-0","OGL-UK-1-0","Open Government Licence v1.0","Label","0.0978657783643535e0"
"http://publications.europa.eu/resource/authority/licence/OGL_2_0","http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/","https://spdx.org/licenses/OGL-UK-2.0","Open Government Licence 2.0","Open Government Licence v2.0","OGL-2-0","OGL-UK-2-0","Open Government Licence v2.0","Label","0.0978657783643535e0"
"http://publications.europa.eu/resource/authority/licence/OGL_3_0","http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/","https://spdx.org/licenses/OGL-UK-3.0","Open Government Licence 3.0","Open Government Licence v3.0","OGL-3-0","OGL-UK-3-0","Open Government Licence v3.0","Label","0.0978657783643535e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNC_3_0","http://creativecommons.org/licenses/by-nc/3.0/","https://spdx.org/licenses/CC-BY-NC-3.0","Creative Commons Attribution–NonCommercial 3.0 Unported","Creative Commons Attribution Non Commercial 3.0 Unported","CC-BYNC-3-0","CC-BY-NC-3-0","Creative Commons Attribution Non Commercial 3.0 Unported","Label","0.10845637891545212e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYSA_3_0","http://creativecommons.org/licenses/by-sa/3.0/","https://spdx.org/licenses/CC-BY-SA-3.0","Creative Commons Attribution–ShareAlike 3.0 Unported","Creative Commons Attribution Share Alike 3.0 Unported","CC-BYSA-3-0","CC-BY-SA-3-0","Creative Commons Attribution Share Alike 3.0 Unported","Label","0.1088672113209933e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNC_1_0","http://creativecommons.org/licenses/by-nc/1.0/","https://spdx.org/licenses/CC-BY-NC-1.0","Creative Commons Attribution–NonCommercial 1.0 Generic","Creative Commons Attribution Non Commercial 1.0 Generic","CC-BYNC-1-0","CC-BY-NC-1-0","Creative Commons Attribution Non Commercial 1.0 Generic","Label","0.1102983159220986e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNC_2_0","http://creativecommons.org/licenses/by-nc/2.0/","https://spdx.org/licenses/CC-BY-NC-2.0","Creative Commons Attribution–NonCommercial 2.0 Generic","Creative Commons Attribution Non Commercial 2.0 Generic","CC-BYNC-2-0","CC-BY-NC-2-0","Creative Commons Attribution Non Commercial 2.0 Generic","Label","0.1102983159220986e0"
